M,N,K,Latency(ms),TFlops
64,12288,12288,0.2242,86.1933
128,12288,12288,0.2313,167.1439
256,12288,12288,0.3498,221.0356
512,12288,12288,0.6319,244.7009
1024,12288,12288,1.2846,240.7269
2048,12288,12288,2.82965,218.56805
4096,12288,12288,5.433999999999999,227.63299999999998
8192,12288,12288,10.6413,232.4803
16384,12288,12288,20.89865,236.75235
32768,12288,12288,42.16945,234.66295
8192,32,32,0.02515,0.66705
8192,64,64,0.0663,1.0125
8192,128,128,0.06745000000000001,3.9819500000000003
8192,256,256,0.0675,15.9138
8192,512,512,0.0743,57.8311
8192,1024,1024,0.1149,149.4971
8192,2048,2048,0.314,218.8537
8192,4096,4096,1.0964,250.70325
8192,8192,8192,4.7199,232.9546
8192,16384,16384,18.5115,237.5841
8192,32768,32768,77.1823,227.9303
32,12288,12288,0.1993,48.4837
