m,n,k,cycle_count
32,12288,12288,211918
64,12288,12288,214404
128,12288,12288,223683
256,12288,12288,412009
512,12288,12288,784781
1024,12288,12288,1553721
2048,12288,12288,3095001
4096,12288,12288,6177561
8192,12288,12288,12342681
16384,12288,12288,24672921
32768,12288,12288,49333401
8192,32,32,909
8192,64,64,2001
8192,128,128,4562
8192,256,256,11101
8192,512,512,32049
8192,1024,1024,104977
8192,2048,2048,369034
8192,4096,4096,1363730
8192,8192,8192,5320018
8192,16384,16384,21353509
8192,32768,32768,85594661
