Elements,GElements/s
1024,0.016582679912892622
2048,0.03282672768722382
4096,0.06672799425813512
8192,0.13289716905016968
16384,0.25763162809467627
32768,0.5111895785692419
65536,1.025262902296786
131072,2.0731005542540695
262144,4.147346548689505
524288,8.329653164818572
1048576,16.73658681645943
2097152,28.920937868088966
4194304,44.477166143474626
8388608,60.902503495984526
16777216,75.21681618211257
33554432,84.95014239361569
67108864,90.87379360945698
134217728,95.66300197412062
268435456,134.00367543529205
536870912,165.30927274420327
